year,age,numbers
2000,-15,1
2000,5,1
2000,17,1
2000,18,23
2000,19,72
2000,20,102
2000,21,177
2000,22,178
2000,23,245
2000,24,395
2000,25,669
2000,26,713
2000,27,702
2000,28,796
2000,29,820
2000,30,1040
2000,31,923
2000,32,1158
2000,33,780
2000,34,964
2000,35,1178
2000,36,1307
2000,37,1844
2000,38,985
2000,39,531
2000,40,692
2000,41,771
2000,42,1064
2000,43,1176
2000,44,1229
2000,45,1119
2000,46,1287
2000,47,1290
2000,48,1222
2000,49,966
2000,50,927
2000,51,950
2000,52,827
2000,53,791
2000,54,710
2000,55,643
2000,56,669
2000,57,578
2000,58,593
2000,59,532
2000,60,665
2000,61,573
2000,62,632
2000,63,608
2000,64,645
2000,65,603
2000,66,609
2000,67,737
2000,68,683
2000,69,673
2000,70,662
2000,71,540
2000,72,522
2000,73,463
2000,74,404
2000,75,344
2000,76,332
2000,77,259
2000,78,231
2000,79,210
2000,80,196
2000,81,170
2000,82,136
2000,83,125
2000,84,85
2000,85,76
2000,86,68
2000,87,34
2000,88,40
2000,89,28
2000,90,23
2000,91,10
2000,92,13
2000,93,11
2000,94,6
2000,96,4
2000,97,3
2000,98,3
2000,99,5
2000,100,11
2001,6,1
2001,16,1
2001,17,2
2001,18,8
2001,19,74
2001,20,174
2001,21,241
2001,22,394
2001,23,398
2001,24,521
2001,25,748
2001,26,1129
2001,27,1215
2001,28,1228
2001,29,1305
2001,30,1266
2001,31,1587
2001,32,1432
2001,33,1743
2001,34,1179
2001,35,1365
2001,36,1562
2001,37,1780
2001,38,2428
2001,39,1268
2001,40,637
2001,41,885
2001,42,978
2001,43,1422
2001,44,1522
2001,45,1586
2001,46,1539
2001,47,1716
2001,48,1759
2001,49,1604
2001,50,1261
2001,51,1246
2001,52,1354
2001,53,1218
2001,54,1148
2001,55,1067
2001,56,1021
2001,57,996
2001,58,881
2001,59,909
2001,60,863
2001,61,1121
2001,62,922
2001,63,1002
2001,64,954
2001,65,961
2001,66,804
2001,67,812
2001,68,998
2001,69,825
2001,70,820
2001,71,812
2001,72,646
2001,73,610
2001,74,538
2001,75,514
2001,76,409
2001,77,372
2001,78,307
2001,79,278
2001,80,234
2001,81,216
2001,82,191
2001,83,145
2001,84,135
2001,85,96
2001,86,85
2001,87,73
2001,88,42
2001,89,42
2001,90,31
2001,91,20
2001,92,11
2001,93,12
2001,94,10
2001,95,6
2001,97,3
2001,98,3
2001,99,3
2001,100,4
2001,101,10
2002,-13,1
2002,7,1
2002,12,1
2002,16,1
2002,17,3
2002,18,14
2002,19,57
2002,20,261
2002,21,450
2002,22,543
2002,23,802
2002,24,706
2002,25,881
2002,26,1163
2002,27,1591
2002,28,1685
2002,29,1670
2002,30,1728
2002,31,1711
2002,32,2060
2002,33,1895
2002,34,2297
2002,35,1518
2002,36,1793
2002,37,2061
2002,38,2264
2002,39,3051
2002,40,1608
2002,41,781
2002,42,1061
2002,43,1197
2002,44,1737
2002,45,2040
2002,46,2218
2002,47,2163
2002,48,2475
2002,49,2432
2002,50,2281
2002,51,1750
2002,52,1758
2002,53,1922
2002,54,1719
2002,55,1753
2002,56,1677
2002,57,1611
2002,58,1580
2002,59,1387
2002,60,1464
2002,61,1332
2002,62,1700
2002,63,1416
2002,64,1494
2002,65,1371
2002,66,1384
2002,67,1167
2002,68,1175
2002,69,1364
2002,70,1130
2002,71,1085
2002,72,1105
2002,73,864
2002,74,803
2002,75,713
2002,76,653
2002,77,526
2002,78,467
2002,79,367
2002,80,335
2002,81,277
2002,82,250
2002,83,216
2002,84,151
2002,85,159
2002,86,97
2002,87,86
2002,88,74
2002,89,38
2002,90,43
2002,91,34
2002,92,19
2002,93,12
2002,94,9
2002,95,9
2002,96,3
2002,98,2
2002,99,3
2002,100,3
2002,101,4
2002,102,5
2002,934,1
2003,-12,1
2003,8,1
2003,11,1
2003,13,1
2003,17,1
2003,18,12
2003,19,39
2003,20,109
2003,21,411
2003,22,723
2003,23,775
2003,24,1061
2003,25,853
2003,26,1017
2003,27,1376
2003,28,1870
2003,29,1949
2003,30,1942
2003,31,2058
2003,32,2027
2003,33,2454
2003,34,2253
2003,35,2677
2003,36,1799
2003,37,2081
2003,38,2506
2003,39,2714
2003,40,3697
2003,41,1968
2003,42,981
2003,43,1420
2003,44,1562
2003,45,2242
2003,46,2615
2003,47,2686
2003,48,2596
2003,49,2936
2003,50,2895
2003,51,2651
2003,52,2099
2003,53,2032
2003,54,2238
2003,55,1942
2003,56,1983
2003,57,1838
2003,58,1686
2003,59,1640
2003,60,1466
2003,61,1523
2003,62,1386
2003,63,1751
2003,64,1471
