年份	 平均工资	 在职人数	 离退人数	  统筹账户收入	统筹账户费用总支出	门诊统筹支付	供养比
2006	13643	161375	87877	117679602.2	60564144.49	4258900.65	1.836373568
2007	15406	172469	95516	143737573.6	82185398.63	4863140.92	1.805655597
2008	18183	194148	102107	180466599.2	110631188.3	4842936.82	1.901417141
2009	21350	222644	115517	225365405.1	173173502.8	7086297.78	1.927369997
2010	23313	236792	127200	254563252.6	283353277.8	8521717.36	1.861572327
2011	25649	256941	131175	337238641.9	367980606.3	11738427.69	1.958765009
2012	27053	287454	135684	631196232.1	512040943.3	14921123.4	2.118554878
2013	31340	302809	143847	698260973.5	616785989.4	17538644.89	2.105076922
2014	37648	305966	151166	794304798.3	701855921.5	24895722.19	2.024039797
2015	41121	301974	158249	870567897.5	803529560.9	65423278.82	1.908220589

