year	state	grade	jlfy	ylfy	zyrc	jlypf	ylypf	tczhzf
2000	1	二级	19848.21	13625.80	2	1657.13	1418.83	27290.06
2002	1	二级	9472.12	169.50	1	142.87	169.47	8624.70
2003	1	二级	-329.41	10004.20	3	0.00	0.00	6168.86
2004	1	二级	309871.28	23682.20	43	5569.42	19442.38	291179.00
2005	1	二级	208937.19	1195522.80	346	114953.68	245825.46	999778.95
2006	1	二级	-64509.68	17697748.90	5628	1929944.10	4756857.31	11699161.60
2007	1	二级	1876691.45	24125959.10	7488	3091549.59	8761931.98	17650184.76
2008	1	二级	5039938.78	28879337.70	9142	3752298.80	12060396.40	23740119.51
2009	1	二级	9797976.87	35547017.54	10611	5038233.03	16094950.53	33768529.27
2010	1	二级	36189716.75	27146979.80	12768	10315547.80	18971426.08	51647557.98
2011	1	二级	46593368.73	32388906.90	14407	14233003.96	22042096.53	65742562.35
2012	1	二级	54597889.30	53353586.30	17627	17023976.39	30302299.65	86508241.25
2013	1	二级	62350693.35	65466293.91	19382	18510211.99	36083236.45	101855682.60
2014	1	二级	80030483.22	84861174.17	23207	21723895.38	46434028.18	132375238.72
2015	1	二级	108220633.29	113539188.69	30612	26279033.41	67585197.52	179192034.33
