月份,总费用支出,统筹总支出,住院总费用,住院统筹支付,门诊总费用,门诊统筹支付,住院人次,门诊人次,均次住院统筹支付,均次门诊统筹支付
200601,7082583.2,4034320.37,7016492.63,3995099.86,66090.57,39220.51,1447,56,2760.95,700.37
200602,8165404.74,4433780.8,8158330.34,4428892.25,7074.4,4888.55,1590,8,2785.47,611.07
200603,9926203.06,5169025.75,9919309,5164963.04,6894.06,4062.71,1972,5,2619.15,812.54
200604,9185619.28,4906991.58,9183583.97,4905714.26,2035.31,1277.32,1903,2,2577.88,638.66
200605,9793965.94,5061777.8,8623714.14,4501306.06,1170251.8,560471.74,1765,1269,2550.32,441.66
200606,9868962.32,4988669.85,9064616.23,4610565.87,804346.09,378103.98,1806,892,2552.92,423.88
200607,8068849.87,4215183.95,7792440.63,4073150.05,276409.24,142033.9,1786,314,2280.6,452.34
200608,8562677.49,4395348.56,8457387.34,4340120.5,105290.15,55228.06,1702,108,2550.01,511.37
200609,8960236.09,4657206.99,8911952.11,4632428.36,48283.98,24778.63,2062,46,2246.57,538.67
200610,10026659.27,5059059.03,10011758.9,5052048.54,14900.37,7010.49,2094,10,2412.63,701.05
200611,11847474.9,6014539.51,9639245.6,4953195.11,2208229.3,1061344.4,1973,1903,2510.49,557.72
200612,14309822.93,7628240.3,10516056.67,5647759.94,3793766.26,1980480.36,2329,3298,2424.97,600.51
200701,12514263.59,6702185.79,12328813.71,6608302.87,185449.88,93882.92,2135,181,3095.22,518.69
200702,8277361.03,4513613.01,8257818.4,4503376.24,19542.63,10236.77,1679,22,2682.18,465.31
200703,12130946.7,6371795.3,12126023.01,6368871.27,4923.69,2924.03,2356,5,2703.26,584.81
200704,12291041.99,6429262.48,12285441.91,6426052.93,5600.08,3209.55,2262,5,2840.87,641.91
200705,13620927.93,6890581.05,12202570.05,6245406.49,1418357.88,645174.56,2208,1395,2828.54,462.49
200706,13017270.86,6431112.76,11770687.62,5816036.24,1246583.24,615076.52,1987,1326,2927.04,463.86
200707,12978925.81,6486331.96,12858147.94,6431164.74,120777.87,55167.22,2338,120,2750.71,459.73
200708,11498664.63,6085774.95,11489607.83,6081841.89,9056.8,3933.06,2395,8,2539.39,491.63
200709,12030518.19,6244440.91,12012744.37,6235727.13,17773.82,8713.78,2290,14,2723.02,622.41
200710,13265252.47,7031339.5,13244355.55,7020087.51,20896.92,11251.99,2514,14,2792.4,803.71
200711,15235576.66,7944118.34,13178151.58,7004050.64,2057425.08,940067.7,2565,1696,2730.62,554.29
200712,20589479.37,11054842.58,15535082.12,8581339.76,5054397.25,2473502.82,3045,4045,2818.17,611.5
200801,15298124.92,8615812.08,15203648.25,8571611.66,94476.67,44200.42,2627,72,3262.89,613.89
200802,13632973.89,7354866.2,13597918.56,7339655.1,35055.33,15211.1,2326,29,3155.48,524.52
200803,17153245.65,9479877.24,17141351.52,9473141.02,11894.13,6736.22,3201,10,2959.43,673.62
200804,16932056.08,8950748.8,16868488.13,8937174.9,63567.95,13573.9,2993,40,2986.03,339.35
