年份,病种,住院总费用,住院统筹支付,住院人次
2015,腰椎间盘突出,23989726.66,16420017.99,3282
2015,高血压病,24662085.25,17746877.88,2991
2015,急性支气管炎,7901644.65,5652379.4,2396
2015,肺部感染,19412053.76,13960831.72,2358
2015,脑梗死,26869188.37,19807265.14,2357
2015,冠心病,14151929.37,10370904.94,1807
2015,神经根型颈椎病,9260682.39,6572551.69,1620
2015,糖尿病,13851810.14,10290720.77,1602
2015,慢性支气管炎,7259939.72,5475566.17,1558
2015,冠状动脉粥样硬化性心脏病,26252302.95,18198893.58,1455
2015,恶性肿瘤放（化）治疗,23151790.51,15474126.51,1430
2015,慢性胃炎,6720072.37,4736941.88,1421
2015,冠心病心律失常型,9144434.32,6527461.4,1335
2015,,4442959.84,2670711.16,1229
2015,混合痔,7290434.75,4990753.76,1228
2015,肺炎,8182083.72,5877140.39,1216
2015,慢性阻塞性肺病伴急性加重,16619362.16,12056883.25,1185
2015,混合型颈椎病,6272035.07,4455902.51,1094
2015,带状疱疹,6090245.8,4225439.51,1041
2015,急性上呼吸道感染,3849473.59,2629804.18,1040
2015,2型糖尿病,10249053.21,7146734.71,945
2015,慢性阻塞性肺病,12551824.6,9139404.51,932
2015,输尿管结石,5147499.16,3065331.31,912
2015,肺恶性肿瘤,18034000.09,12613052.74,891
2015,胆囊结石,9255054.79,5735384.03,869
2015,白内障,8282628.04,4495149.86,851
2015,高血压3级,6823221.03,4923694.95,820
2015,慢性支气管炎伴肺气肿,3857180.91,2959437.54,815
2015,痛风性关节炎,3303523.74,2387541.78,791
2015,乳腺恶性肿瘤,10652258.23,7259050.12,779
2015,骨质疏松,7379729.8,5316518.63,760
2015,关节炎,8312467.22,5999115.51,757
2015,后循环缺血,7479822.52,5261619.33,748
2015,胃肠炎,2392861.74,1592572.79,709
2015,前列腺增生,6513216.4,4272195.56,700
2015,支气管炎,2786977.89,1996697.53,697
2015,血管性头痛,2605875.18,1912697.45,671
2015,脑动脉供血不足,2880587.88,2110687.46,654
2015,骨质增生,2493528.31,1872881.87,644
2015,肾结石,3624117.12,2197799.28,588
2015,泌尿道感染,2615573.41,1759708.31,570
2015,腹痛,4293079.42,3006759.29,537
2015,膝关节病,3101387.38,2278673.44,526
2015,颈椎间盘突出,3485168.34,2419327.86,494
2015,头晕和眩晕,3006719.03,2231745.96,494
2015,精神分裂症,9541418.7,6954624.33,488
2015,肺癌病,7882315.49,5053343.25,465
2015,老年性白内障,3321780.18,1725718.7,442
2015,高血压2级,3362252.29,2433807.79,438
2015,神经根型腰椎病,1753930.2,1318973.37,431
2015,眩晕病,2085137.35,1518760.78,417
2015,支气管肺炎,1272465.61,910825.1,416
2015,直肠恶性肿瘤,8484851.19,5754571.47,394
2015,腔隙性脑梗死,4471179.79,3150962.79,389
2015,脊椎病,2355615.14,1693549.45,388
2015,胃炎,1713477.28,1157211.66,387
2015,原发性高血压,1547961.53,1120218.26,383
2015,肩周炎,1890076.18,1400481.82,378
2015,急性胆囊炎,2033987.32,1366830.27,369
2015,肺气肿,2880939.35,2175038.51,368
2015,糜烂性胃炎,1273170.81,915011.89,360
2015,慢性肾衰竭,6473251.19,4466424.86,358
2015,腰椎退行性病变,1530846.02,1193976.72,351
2015,急性阑尾炎,2472419.15,1587894.99,326
2015,高血压1级,1841814.95,1323121.87,323
2015,脑梗死后遗症,2375188.02,1778459.57,322
2015,结肠息肉,2711532.62,1773722.14,322
